CODE,Id,lat,lon,.geo
1,0,38.91973065,-77.56999965,"{""type"":""Polygon"",""coordinates"":[[[-77.5749275247779,38.91584571361829],[-77.57477588758576,38.91561382638125],[-77.56542960743022,38.91561387735272],[-77.56542960743022,38.92511172486383],[-77.5674228141307,38.925111716841045],[-77.56793564967127,38.923849821627684],[-77.57127103548031,38.92267708563864],[-77.57312159482349,38.923501990223244],[-77.5749275247779,38.92389884006492],[-77.5749275247779,38.91584571361829]]]}"
2,0,38.95836327,-76.83867643,"{""type"":""Polygon"",""coordinates"":[[[-76.84342534877038,38.95361431954151],[-76.83392751925139,38.95361435625759],[-76.83392751925139,38.96311224447422],[-76.84342534877038,38.96311220975796],[-76.84342534877038,38.95361431954151]]]}"
3,0,38.9868636,-77.43717698,"{""type"":""Polygon"",""coordinates"":[[[-77.44192591373807,38.98211241578212],[-77.43242804224761,38.98211241696001],[-77.43242804224761,38.99161481510951],[-77.44192591373807,38.991614804697235],[-77.44192591373807,38.98211241578212]]]}"
4,0,38.66386417,-77.27567723,"{""type"":""Polygon"",""coordinates"":[[[-77.28042619344917,38.65911300801951],[-77.27092826380152,38.65911302035504],[-77.27092826380152,38.66861536219052],[-77.28042619344917,38.66861534294659],[-77.28042619344917,38.65911300801951]]]}"
5,0,38.70988483,-77.35535179,"{""type"":""Polygon"",""coordinates"":[[[-77.35642708904743,38.706615787240736],[-77.35533013032804,38.70661576616297],[-77.35436257260153,38.70917536245202],[-77.35317193020236,38.710544230786375],[-77.35642708904743,38.71338472377788],[-77.35642708904743,38.706615787240736]]]}"
6,0,38.97736347,-77.33267793,"{""type"":""Polygon"",""coordinates"":[[[-77.33742686235131,38.97261455895099],[-77.3279290039596,38.97261455320844],[-77.3279290039596,38.98211240881375],[-77.33742686235131,38.98211240717704],[-77.33742686235131,38.97261455895099]]]}"
7,0,38.9203628,-77.25667703,"{""type"":""Polygon"",""coordinates"":[[[-77.26142597067818,38.91561384662006],[-77.25192808342508,38.915613864773874],[-77.25192808342508,38.92511177084836],[-77.26142597067818,38.92511174663348],[-77.26142597067818,38.91561384662006]]]}"
8,0,39.00500751,-76.85134522,"{""type"":""Polygon"",""coordinates"":[[[-76.85292772944078,39.0011126779507],[-76.8482858236373,39.00111265529723],[-76.84996682655404,39.005099086269325],[-76.85142502640527,39.01049015794757],[-76.85141605183733,39.01061497359535],[-76.85292772944078,39.01061499403116],[-76.85292772944078,39.0011126779507]]]}"
9,0,38.77786329,-76.82917856,"{""type"":""Polygon"",""coordinates"":[[[-76.83392751925139,38.77311434069807],[-76.82442957860296,38.77311434673937],[-76.82442957860296,38.78261222207992],[-76.83392751925139,38.78261229628997],[-76.83392751925139,38.77311434069807]]]}"
10,0,39.12648889,-77.57749107,"{""type"":""MultiPolygon"",""coordinates"":[[[[-77.58442543204951,39.12461190402133],[-77.58408204695337,39.1246118945203],[-77.58442543204951,39.12550819222706],[-77.58442543204951,39.12461190402133]]],[[[-77.58155817384157,39.12461190551859],[-77.5749275247779,39.12461194348612],[-77.5749275247779,39.128781172308656],[-77.57768328109225,39.12912005006344],[-77.58092498878334,39.12533879881584],[-77.58155817384157,39.12461190551859]]]]}"
11,0,38.834864,-77.63667716,"{""type"":""Polygon"",""coordinates"":[[[-77.6414260689503,38.83011506868305],[-77.63192824366772,38.83011508892468],[-77.63192824366772,38.83961296456081],[-77.6414260689503,38.83961293082948],[-77.6414260689503,38.83011506868305]]]}"
12,0,38.84830959,-77.48960181,"{""type"":""Polygon"",""coordinates"":[[[-77.48987904598516,38.84784446123414],[-77.48942869439279,38.8474966591889],[-77.48942869439279,38.849115271013716],[-77.48966507231529,38.849115291173085],[-77.48987904598516,38.84784446123414]]]}"
